TYPES OF PADDY,X,Y,PERIOD,STARTING DURATION,ENDING DURATION,AVERAGE YIELD(Kg/ha),1000 GRAIN WEIGHT(g),GRAIN TYPE,HABIT,RICE COLOR,SPECIAL FEATURES,STARTING MONTH,ENDING MONTH,DISTRICT,RAINFALL ACTUAL(in mm),RAINFALL NORMAL(in mm),TMAX (°F),TMIN (°F)
ADT 39,IR 8,IR 20,Medium,120,125,5000,18,Medium slender,Semi dwarf,White,Resistant to Blast and sheath rot,September,October,Thanjavur,151,318,94,79
ADT 39,IR 8,IR 20,Medium,120,125,5000,18,Medium slender,Semi dwarf,White,Resistant to Blast and sheath rot,September,October,Nagapattinam,164.8,286.1,91,82
ADT 39,IR 8,IR 20,Medium,120,125,5000,18,Medium slender,Semi dwarf,White,Resistant to Blast and sheath rot,September,October,Tiruvarur,181.7,296.4,92,81
ADT 39,IR 8,IR 20,Medium,120,125,5000,18,Medium slender,Semi dwarf,White,Resistant to Blast and sheath rot,August,August,Pudukottai,277.7,350.6,95,79
ADT 39,IR 8,IR 20,Medium,120,125,5000,18,Medium slender,Semi dwarf,White,Resistant to Blast and sheath rot,September,October,Madurai,273.8,335.9,93,77
ADT 39,IR 8,IR 20,Medium,120,125,5000,18,Medium slender,Semi dwarf,White,Resistant to Blast and sheath rot,September,October,Dindigal,267,295.4,92,75
ADT 39,IR 8,IR 20,Medium,120,125,5000,18,Medium slender,Semi dwarf,White,Resistant to Blast and sheath rot,September,October,Theni,474,158.4,90,73
ADT 39,IR 8,IR 20,Medium,120,125,5000,18,Medium slender,Semi dwarf,White,Resistant to Blast and sheath rot,September,October,Virudhunagar,227.4,196.8,92,75
ADT 39,IR 8,IR 20,Medium,120,125,5000,18,Medium slender,Semi dwarf,White,Resistant to Blast and sheath rot,July,August,Sivaganga,305.7,301,88,75
ADT 39,IR 8,IR 20,Medium,120,125,5000,18,Medium slender,Semi dwarf,White,Resistant to Blast and sheath rot,September,October,Tirunelveli,519.8,467.2,90,75
ADT 39,IR 8,IR 20,Medium,120,125,5000,18,Medium slender,Semi dwarf,White,Resistant to Blast and sheath rot,September,October,Thoothukudi,348.8,427,89,77
ADT 39,IR 8,IR 20,Medium,120,125,5000,18,Medium slender,Semi dwarf,White,Resistant to Blast and sheath rot,September,October,Kanyakumari,402.8,496.4,86,78
ADT 39,IR 8,IR 20,Medium,120,125,5000,18,Medium slender,Semi dwarf,White,Resistant to Blast and sheath rot,August,August,Coimbatore,652.3,189.8,86,72
ADT 39,IR 8,IR 20,Medium,120,125,5000,18,Medium slender,Semi dwarf,White,Resistant to Blast and sheath rot,August,August,Erode,282.9,229.8,95,77
Bhavani,Peta,BPI 76,Medium,120,125,5000,21.5,Long Slender,Semi dwarf,White,"Highly resistant to Gall Midge, resistant to Brown Plant Hopper, leaf blast, moderately resistant to White Backed Plant Hopper, Brown Spot and neck blast",August,August,Vellore,318.1,466.1,95,74
Bhavani,Peta,BPI 76,Medium,120,125,5000,21.5,Long Slender,Semi dwarf,White,"Highly resistant to Gall Midge, resistant to Brown Plant Hopper, leaf blast, moderately resistant to White Backed Plant Hopper, Brown Spot and neck blast",August,August,Tiruvannamalai,309.7,468.1,95,75
Bhavani,Peta,BPI 76,Medium,120,125,5000,21.5,Long Slender,Semi dwarf,White,"Highly resistant to Gall Midge, resistant to Brown Plant Hopper, leaf blast, moderately resistant to White Backed Plant Hopper, Brown Spot and neck blast",August,August,Salem,34.3,24.1,93,76
Bhavani,Peta,BPI 76,Medium,120,125,5000,21.5,Long Slender,Semi dwarf,White,"Highly resistant to Gall Midge, resistant to Brown Plant Hopper, leaf blast, moderately resistant to White Backed Plant Hopper, Brown Spot and neck blast",August,August,Namakkal,256.7,339.3,94,77
Bhavani,Peta,BPI 76,Medium,120,125,5000,21.5,Long Slender,Semi dwarf,White,"Highly resistant to Gall Midge, resistant to Brown Plant Hopper, leaf blast, moderately resistant to White Backed Plant Hopper, Brown Spot and neck blast",May,June,Dharmapuri,170.6,393.4,96,77
Bhavani,Peta,BPI 76,Medium,120,125,5000,21.5,Long Slender,Semi dwarf,White,"Highly resistant to Gall Midge, resistant to Brown Plant Hopper, leaf blast, moderately resistant to White Backed Plant Hopper, Brown Spot and neck blast",May,June,Krishnagiri,222.2,399,95,77
Bhavani,Peta,BPI 76,Medium,120,125,5000,21.5,Long Slender,Semi dwarf,White,"Highly resistant to Gall Midge, resistant to Brown Plant Hopper, leaf blast, moderately resistant to White Backed Plant Hopper, Brown Spot and neck blast",August,August,Coimbatore,652.3,189.8,86,72
Bhavani,Peta,BPI 76,Medium,120,125,5000,21.5,Long Slender,Semi dwarf,White,"Highly resistant to Gall Midge, resistant to Brown Plant Hopper, leaf blast, moderately resistant to White Backed Plant Hopper, Brown Spot and neck blast",August,August,Erode,282.9,229.8,95,77
MDU 3,IR 8,W 1263,Medium,120,125,5000,23.1,Long Slender,Semi dwarf,White,"Highly resistant to Gall Midge, resistant to Brown Plant Hopper, leaf blast, moderately resistant to White Backed Plant Hopper, Brown Spot and neck blast",September,October,Madurai,273.8,335.9,93,77
MDU 3,IR 8,W 1263,Medium,120,125,5000,23.1,Long Slender,Semi dwarf,White,"Highly resistant to Gall Midge, resistant to Brown Plant Hopper, leaf blast, moderately resistant to White Backed Plant Hopper, Brown Spot and neck blast",September,October,Dindigal,267,295.4,92,75
MDU 3,IR 8,W 1263,Medium,120,125,5000,23.1,Long Slender,Semi dwarf,White,"Highly resistant to Gall Midge, resistant to Brown Plant Hopper, leaf blast, moderately resistant to White Backed Plant Hopper, Brown Spot and neck blast",September,October,Theni,474,158.4,90,73
MDU 3,IR 8,W 1263,Medium,120,125,5000,23.1,Long Slender,Semi dwarf,White,"Highly resistant to Gall Midge, resistant to Brown Plant Hopper, leaf blast, moderately resistant to White Backed Plant Hopper, Brown Spot and neck blast",August,August,Ramanathapuram,96.5,149.3,91,81
MDU 4,AC 2836,Jagannath,Medium,120,125,5900,22.9,Long Slender,"Erect, tall",White,cold tolerant,August,August,Madurai,273.8,335.9,94,94
MDU 4,AC 2836,Jagannath,Medium,120,125,5900,22.9,Long Slender,"Erect, tall",White,cold tolerant,August,August,Dindigal,267,295.4,92,75
MDU 4,AC 2836,Jagannath,Medium,120,125,5900,22.9,Long Slender,"Erect, tall",White,cold tolerant,August,August,Theni,474,158.4,95,89
MDU 4,AC 2836,Jagannath,Medium,120,125,5900,22.9,Long Slender,"Erect, tall",White,cold tolerant,August,August,Salem,330.6,440.6,93,76
MDU 4,AC 2836,Jagannath,Medium,120,125,5900,22.9,Long Slender,"Erect, tall",White,cold tolerant,August,August,Namakkal,256.7,339.3,94,77
MDU 4,AC 2836,Jagannath,Medium,120,125,5900,22.9,Long Slender,"Erect, tall",White,cold tolerant,May,June,Dharmapuri,170.6,393.4,92,75
MDU 4,AC 2836,Jagannath,Medium,120,125,5900,22.9,Long Slender,"Erect, tall",White,cold tolerant,May,June,Krishnagiri,222.2,399,95,77
MDU 4,AC 2836,Jagannath,Medium,120,125,5900,22.9,Long Slender,"Erect, tall",White,cold tolerant,August,August,Coimbatore,652.3,189.8,86,72
TRY 1,IR578-172-2-2,BR-1-2-B-1,Medium,135,140,5255,24,Medium,Erect,White,Suitable for making flaked rice (Aval) and puffed rice (pori),August,August,Kanchipuram,397,490.8,95,77
TRY 1,IR578-172-2-2,BR-1-2-B-1,Medium,135,140,5255,24,Medium,Erect,White,Suitable for making flaked rice (Aval) and puffed rice (pori),August,August,thiruvallur,364.3,451.6,95,78
TRY 1,IR578-172-2-2,BR-1-2-B-1,Medium,135,140,5255,24,Medium,Erect,White,Suitable for making flaked rice (Aval) and puffed rice (pori),August,August,Vellore,318.1,466.1,95,74
TRY 1,IR578-172-2-2,BR-1-2-B-1,Medium,135,140,5255,24,Medium,Erect,White,Suitable for making flaked rice (Aval) and puffed rice (pori),August,August,Tiruvannamalai,309.7,468.1,95,75
TRY 1,IR578-172-2-2,BR-1-2-B-1,Medium,135,140,5255,24,Medium,Erect,White,Suitable for making flaked rice (Aval) and puffed rice (pori),August,August,Cuddalore,274.6,383.1,93,81
TRY 1,IR578-172-2-2,BR-1-2-B-1,Medium,135,140,5255,24,Medium,Erect,White,Suitable for making flaked rice (Aval) and puffed rice (pori),August,August,Villupuram,257.1,408.3,95,79
TRY 1,IR578-172-2-2,BR-1-2-B-1,Medium,135,140,5255,24,Medium,Erect,White,Suitable for making flaked rice (Aval) and puffed rice (pori),August,August,Tiruchirappali,143.2,293.9,96,79
TRY 1,IR578-172-2-2,BR-1-2-B-1,Medium,135,140,5255,24,Medium,Erect,White,Suitable for making flaked rice (Aval) and puffed rice (pori),August,August,Karur,164.4,213.6,95,78
TRY 1,IR578-172-2-2,BR-1-2-B-1,Medium,135,140,5255,24,Medium,Erect,White,Suitable for making flaked rice (Aval) and puffed rice (pori),August,August,Perambalur,180,290.7,95,79
TRY 1,IR578-172-2-2,BR-1-2-B-1,Medium,135,140,5255,24,Medium,Erect,White,Suitable for making flaked rice (Aval) and puffed rice (pori),August,August,Thanjavur,151,318,95,80
TRY 1,IR578-172-2-2,BR-1-2-B-1,Medium,135,140,5255,24,Medium,Erect,White,Suitable for making flaked rice (Aval) and puffed rice (pori),August,August,Nagapattinam,164.8,286.1,92,82
TRY 1,IR578-172-2-2,BR-1-2-B-1,Medium,135,140,5255,24,Medium,Erect,White,Suitable for making flaked rice (Aval) and puffed rice (pori),August,August,Tiruvarur,181.7,296.4,94,82
TRY 1,IR578-172-2-2,BR-1-2-B-1,Medium,135,140,5255,24,Medium,Erect,White,Suitable for making flaked rice (Aval) and puffed rice (pori),August,August,Pudukottai,277.7,350.6,95,79
TRY 1,IR578-172-2-2,BR-1-2-B-1,Medium,135,140,5255,24,Medium,Erect,White,Suitable for making flaked rice (Aval) and puffed rice (pori),August,August,Madurai,273.8,335.9,94,94
TRY 1,IR578-172-2-2,BR-1-2-B-1,Medium,135,140,5255,24,Medium,Erect,White,Suitable for making flaked rice (Aval) and puffed rice (pori),August,August,Dindigal,267,295.4,92,75
TRY 1,IR578-172-2-2,BR-1-2-B-1,Medium,135,140,5255,24,Medium,Erect,White,Suitable for making flaked rice (Aval) and puffed rice (pori),August,August,Theni,474,158.4,89,73
TRY 1,IR578-172-2-2,BR-1-2-B-1,Medium,135,140,5255,24,Medium,Erect,White,Suitable for making flaked rice (Aval) and puffed rice (pori),August,August,Ramanathapuram,96.5,149.3,91,81
TRY 1,IR578-172-2-2,BR-1-2-B-1,Medium,135,140,5255,24,Medium,Erect,White,Suitable for making flaked rice (Aval) and puffed rice (pori),September,October,Virudhunagar,265.4,419,92,75
TRY 1,IR578-172-2-2,BR-1-2-B-1,Medium,135,140,5255,24,Medium,Erect,White,Suitable for making flaked rice (Aval) and puffed rice (pori),September,October,Tirunelveli,519.8,467.2,90,75
TRY 1,IR578-172-2-2,BR-1-2-B-1,Medium,135,140,5255,24,Medium,Erect,White,Suitable for making flaked rice (Aval) and puffed rice (pori),September,October,Thoothukudi,348.8,427,93,77
TRY 1,IR578-172-2-2,BR-1-2-B-1,Medium,135,140,5255,24,Medium,Erect,White,Suitable for making flaked rice (Aval) and puffed rice (pori),September,October,Kanyakumari,402.8,496.4,86,78
TRY 1,IR578-172-2-2,BR-1-2-B-1,Medium,135,140,5255,24,Medium,Erect,White,Suitable for making flaked rice (Aval) and puffed rice (pori),August,August,Salem,330.6,440.6,93,76
TRY 1,IR578-172-2-2,BR-1-2-B-1,Medium,135,140,5255,24,Medium,Erect,White,Suitable for making flaked rice (Aval) and puffed rice (pori),August,August,Namakkal,256.7,339.3,94,77
TRY 1,IR578-172-2-2,BR-1-2-B-1,Medium,135,140,5255,24,Medium,Erect,White,Suitable for making flaked rice (Aval) and puffed rice (pori),May,June,Dharmapuri,170.6,393.4,96,77
TRY 1,IR578-172-2-2,BR-1-2-B-1,Medium,135,140,5255,24,Medium,Erect,White,Suitable for making flaked rice (Aval) and puffed rice (pori),May,June,Krishnagiri,222.2,399,95,77
TRY 1,IR578-172-2-2,BR-1-2-B-1,Medium,135,140,5255,24,Medium,Erect,White,Suitable for making flaked rice (Aval) and puffed rice (pori),August,August,Coimbatore,652.3,189.8,86,72
TRY 1,IR578-172-2-2,BR-1-2-B-1,Medium,135,140,5255,24,Medium,Erect,White,Suitable for making flaked rice (Aval) and puffed rice (pori),August,August,Erode,282.9,229.8,95,77
TRY 1,IR578-172-2-2,BR-1-2-B-1,Medium,135,140,5255,24,Medium,Erect,White,Suitable for making flaked rice (Aval) and puffed rice (pori),July,August,TheNilgiris,876.9,759.9,88,80
ASD 19,Lalnakanda,IR 30,Medium,120,132,5800,18.39,"Short, slender","Semi-dwarf, erect",White,Resistant to blast and Brown Plant Hopper,August,August,Kanchipuram,397,490.8,95,77
ASD 19,Lalnakanda,IR 30,Medium,120,132,5800,18.39,"Short, slender","Semi-dwarf, erect",White,Resistant to blast and Brown Plant Hopper,August,August,Thiruvallur,364.3,451.6,95,78
ASD 19,Lalnakanda,IR 30,Medium,120,132,5800,18.39,"Short, slender","Semi-dwarf, erect",White,Resistant to blast and Brown Plant Hopper,August,August,Vellore,318.1,466.1,95,74
ASD 19,Lalnakanda,IR 30,Medium,120,132,5800,18.39,"Short, slender","Semi-dwarf, erect",White,Resistant to blast and Brown Plant Hopper,August,August,Tiruvannamalai,309.7,468.1,95,75
ASD 19,Lalnakanda,IR 30,Medium,120,132,5800,18.39,"Short, slender","Semi-dwarf, erect",White,Resistant to blast and Brown Plant Hopper,August,August,Cuddalore,274.6,383.1,93,81
ASD 19,Lalnakanda,IR 30,Medium,120,132,5800,18.39,"Short, slender","Semi-dwarf, erect",White,Resistant to blast and Brown Plant Hopper,August,August,Villupuram,257.1,408.3,95,79
ASD 19,Lalnakanda,IR 30,Medium,120,132,5800,18.39,"Short, slender","Semi-dwarf, erect",White,Resistant to blast and Brown Plant Hopper,August,August,Tiruchirappali,143.2,293.9,96,79
ASD 19,Lalnakanda,IR 30,Medium,120,132,5800,18.39,"Short, slender","Semi-dwarf, erect",White,Resistant to blast and Brown Plant Hopper,August,August,Karur,164.4,213.6,95,78
ASD 19,Lalnakanda,IR 30,Medium,120,132,5800,18.39,"Short, slender","Semi-dwarf, erect",White,Resistant to blast and Brown Plant Hopper,August,August,Perambalur,180,290.7,95,79
ASD 19,Lalnakanda,IR 30,Medium,120,132,5800,18.39,"Short, slender","Semi-dwarf, erect",White,Resistant to blast and Brown Plant Hopper,August,August,Thanjavur,151,318,95,80
ASD 19,Lalnakanda,IR 30,Medium,120,132,5800,18.39,"Short, slender","Semi-dwarf, erect",White,Resistant to blast and Brown Plant Hopper,August,August,Nagapattinam,164.8,286.1,92,82
ASD 19,Lalnakanda,IR 30,Medium,120,132,5800,18.39,"Short, slender","Semi-dwarf, erect",White,Resistant to blast and Brown Plant Hopper,August,August,Tiruvarur,181.7,296.4,94,82
ASD 19,Lalnakanda,IR 30,Medium,120,132,5800,18.39,"Short, slender","Semi-dwarf, erect",White,Resistant to blast and Brown Plant Hopper,August,August,Pudukottai,277.7,350.6,95,79
ASD 19,Lalnakanda,IR 30,Medium,120,132,5800,18.39,"Short, slender","Semi-dwarf, erect",White,Resistant to blast and Brown Plant Hopper,August,August,Madurai,273.8,335.9,94,94
ASD 19,Lalnakanda,IR 30,Medium,120,132,5800,18.39,"Short, slender","Semi-dwarf, erect",White,Resistant to blast and Brown Plant Hopper,August,August,Dindigal,267,295.4,93,75
ASD 19,Lalnakanda,IR 30,Medium,120,132,5800,18.39,"Short, slender","Semi-dwarf, erect",White,Resistant to blast and Brown Plant Hopper,August,August,Theni,474,158.4,89,73
ASD 19,Lalnakanda,IR 30,Medium,120,132,5800,18.39,"Short, slender","Semi-dwarf, erect",White,Resistant to blast and Brown Plant Hopper,August,August,Ramanathapuram,96.5,149.3,91,81
ASD 19,Lalnakanda,IR 30,Medium,120,132,5800,18.39,"Short, slender","Semi-dwarf, erect",White,Resistant to blast and Brown Plant Hopper,September,October,Tirunelveli,519.8,467.2,90,75
ASD 19,Lalnakanda,IR 30,Medium,120,132,5800,18.39,"Short, slender","Semi-dwarf, erect",White,Resistant to blast and Brown Plant Hopper,September,October,Thoothukudi,348.8,427,89,77
ASD 19,Lalnakanda,IR 30,Medium,120,132,5800,18.39,"Short, slender","Semi-dwarf, erect",White,Resistant to blast and Brown Plant Hopper,September,October,Kanyakumari,402.8,486.4,86,78
ASD 19,Lalnakanda,IR 30,Medium,120,132,5800,18.39,"Short, slender","Semi-dwarf, erect",White,Resistant to blast and Brown Plant Hopper,August,August,Salem,330.6,440.6,93,76
ASD 19,Lalnakanda,IR 30,Medium,120,132,5800,18.39,"Short, slender","Semi-dwarf, erect",White,Resistant to blast and Brown Plant Hopper,August,August,Namakkal,256.7,339.3,94,77
ASD 19,Lalnakanda,IR 30,Medium,120,132,5800,18.39,"Short, slender","Semi-dwarf, erect",White,Resistant to blast and Brown Plant Hopper,May,June,Dharmapuri,170.6,393.4,96,77
ASD 19,Lalnakanda,IR 30,Medium,120,132,5800,18.39,"Short, slender","Semi-dwarf, erect",White,Resistant to blast and Brown Plant Hopper,May,June,Krishnagiri,222.2,399,95,77
ASD 19,Lalnakanda,IR 30,Medium,120,132,5800,18.39,"Short, slender","Semi-dwarf, erect",White,Resistant to blast and Brown Plant Hopper,August,August,Coimbatore,652.3,189.8,86,72
TPS 2,IR 26,CO 40,Medium,125,130,4615,23.5,Short Bold,Semi dwarf,White,"Moderately resistant to Brown Plant Hopper and leaf folder, Resistant to rice white tip nematode,Moderately resistant to blast and bacterial leaf blight",September,October,Kanyakumari,402.8,496.4,86,78
TPS 3,RP 31-492,LMN,Medium,135,140,5600,23.2,Short Bold,Semi dwarf/erect,White,Resistant to blast and Leaf folder,September,October,Kanyakumari,402.8,496.4,86,78
White Ponni,Taichung 65,Mayang Ebos-80,Medium,135,140,4500,16.4,Medium slender,Medium tall,White,"Fine grain quality Rice, Resistant to Rice Tungro Virus, Moderately resistant to Brown Spot and Blast",August,August,Kanchipuram,397,490.8,95,77
White Ponni,Taichung 65,Mayang Ebos-80,Medium,135,140,4500,16.4,Medium slender,Medium tall,White,"Fine grain quality Rice, Resistant to Rice Tungro Virus, Moderately resistant to Brown Spot and Blast",August,August,Thiruvallur,364.3,451.6,95,78
White Ponni,Taichung 65,Mayang Ebos-80,Medium,135,140,4500,16.4,Medium slender,Medium tall,White,"Fine grain quality Rice, Resistant to Rice Tungro Virus, Moderately resistant to Brown Spot and Blast",August,August,Vellore,318.1,466.1,95,74
White Ponni,Taichung 65,Mayang Ebos-80,Medium,135,140,4500,16.4,Medium slender,Medium tall,White,"Fine grain quality Rice, Resistant to Rice Tungro Virus, Moderately resistant to Brown Spot and Blast",August,August,Tiruvannamalai,309.7,468.1,95,75
White Ponni,Taichung 65,Mayang Ebos-80,Medium,135,140,4500,16.4,Medium slender,Medium tall,White,"Fine grain quality Rice, Resistant to Rice Tungro Virus, Moderately resistant to Brown Spot and Blast",August,August,Cuddalore,274.6,383.1,93,81
White Ponni,Taichung 65,Mayang Ebos-80,Medium,135,140,4500,16.4,Medium slender,Medium tall,White,"Fine grain quality Rice, Resistant to Rice Tungro Virus, Moderately resistant to Brown Spot and Blast",August,August,Villupuram,257.1,408.3,95,79
White Ponni,Taichung 65,Mayang Ebos-80,Medium,135,140,4500,16.4,Medium slender,Medium tall,White,"Fine grain quality Rice, Resistant to Rice Tungro Virus, Moderately resistant to Brown Spot and Blast",August,August,Tiruchirappali,143.2,293.9,96,79
White Ponni,Taichung 65,Mayang Ebos-80,Medium,135,140,4500,16.4,Medium slender,Medium tall,White,"Fine grain quality Rice, Resistant to Rice Tungro Virus, Moderately resistant to Brown Spot and Blast",August,August,Karur,164.4,213.6,95,78
White Ponni,Taichung 65,Mayang Ebos-80,Medium,135,140,4500,16.4,Medium slender,Medium tall,White,"Fine grain quality Rice, Resistant to Rice Tungro Virus, Moderately resistant to Brown Spot and Blast",August,August,Perambalur,180,290.7,95,79
White Ponni,Taichung 65,Mayang Ebos-80,Medium,135,140,4500,16.4,Medium slender,Medium tall,White,"Fine grain quality Rice, Resistant to Rice Tungro Virus, Moderately resistant to Brown Spot and Blast",August,August,Thanjavur,151,318,95,80
White Ponni,Taichung 65,Mayang Ebos-80,Medium,135,140,4500,16.4,Medium slender,Medium tall,White,"Fine grain quality Rice, Resistant to Rice Tungro Virus, Moderately resistant to Brown Spot and Blast",August,August,Nagapattinam,164.8,286.1,92,82
White Ponni,Taichung 65,Mayang Ebos-80,Medium,135,140,4500,16.4,Medium slender,Medium tall,White,"Fine grain quality Rice, Resistant to Rice Tungro Virus, Moderately resistant to Brown Spot and Blast",August,August,Tiruvarur,181.7,296.4,94,82
White Ponni,Taichung 65,Mayang Ebos-80,Medium,135,140,4500,16.4,Medium slender,Medium tall,White,"Fine grain quality Rice, Resistant to Rice Tungro Virus, Moderately resistant to Brown Spot and Blast",August,August,Pudukottai,277.7,350.6,95,79
White Ponni,Taichung 65,Mayang Ebos-80,Medium,135,140,4500,16.4,Medium slender,Medium tall,White,"Fine grain quality Rice, Resistant to Rice Tungro Virus, Moderately resistant to Brown Spot and Blast",August,August,Madurai,273.8,335.9,94,94
White Ponni,Taichung 65,Mayang Ebos-80,Medium,135,140,4500,16.4,Medium slender,Medium tall,White,"Fine grain quality Rice, Resistant to Rice Tungro Virus, Moderately resistant to Brown Spot and Blast",August,August,Dindigal,267,295.4,92,75
White Ponni,Taichung 65,Mayang Ebos-80,Medium,135,140,4500,16.4,Medium slender,Medium tall,White,"Fine grain quality Rice, Resistant to Rice Tungro Virus, Moderately resistant to Brown Spot and Blast",August,August,Theni,474,158.4,89,73
White Ponni,Taichung 65,Mayang Ebos-80,Medium,135,140,4500,16.4,Medium slender,Medium tall,White,"Fine grain quality Rice, Resistant to Rice Tungro Virus, Moderately resistant to Brown Spot and Blast",August,August,Ramanathapuram,96.5,149.3,91,81
White Ponni,Taichung 65,Mayang Ebos-80,Medium,135,140,4500,16.4,Medium slender,Medium tall,White,"Fine grain quality Rice, Resistant to Rice Tungro Virus, Moderately resistant to Brown Spot and Blast",September,October,Tirunelveli,519.8,467.2,90,75
White Ponni,Taichung 65,Mayang Ebos-80,Medium,135,140,4500,16.4,Medium slender,Medium tall,White,"Fine grain quality Rice, Resistant to Rice Tungro Virus, Moderately resistant to Brown Spot and Blast",September,October,Thoothukudi,348.8,427,89,77
White Ponni,Taichung 65,Mayang Ebos-80,Medium,135,140,4500,16.4,Medium slender,Medium tall,White,"Fine grain quality Rice, Resistant to Rice Tungro Virus, Moderately resistant to Brown Spot and Blast",September,October,Kanyakumari,402.8,496.4,86,78
White Ponni,Taichung 65,Mayang Ebos-80,Medium,135,140,4500,16.4,Medium slender,Medium tall,White,"Fine grain quality Rice, Resistant to Rice Tungro Virus, Moderately resistant to Brown Spot and Blast",August,August,Salem,330.6,440.6,93,76
White Ponni,Taichung 65,Mayang Ebos-80,Medium,135,140,4500,16.4,Medium slender,Medium tall,White,"Fine grain quality Rice, Resistant to Rice Tungro Virus, Moderately resistant to Brown Spot and Blast",August,August,Namakkal,256.7,339.3,94,77
White Ponni,Taichung 65,Mayang Ebos-80,Medium,135,140,4500,16.4,Medium slender,Medium tall,White,"Fine grain quality Rice, Resistant to Rice Tungro Virus, Moderately resistant to Brown Spot and Blast",May,June,Dharmapuri,170.6,393.4,96,77
White Ponni,Taichung 65,Mayang Ebos-80,Medium,135,140,4500,16.4,Medium slender,Medium tall,White,"Fine grain quality Rice, Resistant to Rice Tungro Virus, Moderately resistant to Brown Spot and Blast",May,June,Krishnagiri,222.2,399,95,77
White Ponni,Taichung 65,Mayang Ebos-80,Medium,135,140,4500,16.4,Medium slender,Medium tall,White,"Fine grain quality Rice, Resistant to Rice Tungro Virus, Moderately resistant to Brown Spot and Blast",August,August,Coimbatore,652.3,189.8,86,72
White Ponni,Taichung 65,Mayang Ebos-80,Medium,135,140,4500,16.4,Medium slender,Medium tall,White,"Fine grain quality Rice, Resistant to Rice Tungro Virus, Moderately resistant to Brown Spot and Blast",August,August,Erode,282.9,229.8,95,77
Ponmani(CR 1009),Pankaj,Jagannath,Long,155,160,5300,23.5,Short bold,Erect,White,Resistant to Brown plant hopper and high yield potential,August,August,Vellore,318.1,466.1,94,75
Ponmani(CR 1009),Pankaj,Jagannath,Long,155,160,5300,23.5,Short bold,Erect,White,Resistant to Brown plant hopper and high yield potential,August,August,Tiruvannamalai,309.7,468.1,95,75
Ponmani(CR 1009),Pankaj,Jagannath,Long,155,160,5300,23.5,Short bold,Erect,White,Resistant to Brown plant hopper and high yield potential,August,August,Cuddalore,274.6,383.1,93,81
Ponmani(CR 1009),Pankaj,Jagannath,Long,155,160,5300,23.5,Short bold,Erect,White,Resistant to Brown plant hopper and high yield potential,August,August,Villupuram,257.1,408.3,95,79
Ponmani(CR 1009),Pankaj,Jagannath,Long,155,160,5300,23.5,Short bold,Erect,White,Resistant to Brown plant hopper and high yield potential,August,August,Tiruchirapalli,143.2,293.9,96,79
Ponmani(CR 1009),Pankaj,Jagannath,Long,155,160,5300,23.5,Short bold,Erect,White,Resistant to Brown plant hopper and high yield potential,August,August,Karur,164.4,213.6,95,78
Ponmani(CR 1009),Pankaj,Jagannath,Long,155,160,5300,23.5,Short bold,Erect,White,Resistant to Brown plant hopper and high yield potential,August,August,Perembalur,180,290.7,95,79
Ponmani(CR 1009),Pankaj,Jagannath,Long,155,160,5300,23.5,Short bold,Erect,White,Resistant to Brown plant hopper and high yield potential,August,August,Thanjavur,151,318,95,80
Ponmani(CR 1009),Pankaj,Jagannath,Long,155,160,5300,23.5,Short bold,Erect,White,Resistant to Brown plant hopper and high yield potential,August,August,Nagapattinam,164.8,286.1,92,82
Ponmani(CR 1009),Pankaj,Jagannath,Long,155,160,5300,23.5,Short bold,Erect,White,Resistant to Brown plant hopper and high yield potential,August,August,Tiruvarur,181.7,296.4,94,82
Ponmani(CR 1009),Pankaj,Jagannath,Long,155,160,5300,23.5,Short bold,Erect,White,Resistant to Brown plant hopper and high yield potential,August,August,Pudukottai,277.7,350.6,95,79
Ponmani(CR 1009),Pankaj,Jagannath,Long,155,160,5300,23.5,Short bold,Erect,White,Resistant to Brown plant hopper and high yield potential,September,October,Kanyakumari,402.8,496.4,86,78
CORH 2,IR 58025 A,C 20R,Hybrid,120,125,6100,23.77,Medium,Semi dwarf,White,High yield potential,September,October,Kanchipuram,417.1,641.8,93,76
CORH 2,IR 58025 A,C 20R,Hybrid,120,125,6100,23.77,Medium,Semi dwarf,White,High yield potential,September,October,Tiruvallur,343.2,589.3,93,77
CORH 2,IR 58025 A,C 20R,Hybrid,120,125,6100,23.77,Medium,Semi dwarf,White,High yield potential,August,August,Vellore,318.1,466.1,95,74
CORH 2,IR 58025 A,C 20R,Hybrid,120,125,6100,23.77,Medium,Semi dwarf,White,High yield potential,August,August,Tiruvannamalai,309.7,468.1,95,75
CORH 2,IR 58025 A,C 20R,Hybrid,120,125,6100,23.77,Medium,Semi dwarf,White,High yield potential,August,August,Cuddalore,274.6,383.1,93,81
CORH 2,IR 58025 A,C 20R,Hybrid,120,125,6100,23.77,Medium,Semi dwarf,White,High yield potential,August,August,Villupuram,257.1,408.3,95,79
CORH 2,IR 58025 A,C 20R,Hybrid,120,125,6100,23.77,Medium,Semi dwarf,White,High yield potential,August,August,Thanjavur,151,318,95,80
CORH 2,IR 58025 A,C 20R,Hybrid,120,125,6100,23.77,Medium,Semi dwarf,White,High yield potential,August,August,Nagapattinam,164.8,286.1,92,82
CORH 2,IR 58025 A,C 20R,Hybrid,120,125,6100,23.77,Medium,Semi dwarf,White,High yield potential,August,August,Tiruvarur,181.7,296.4,94,82
